epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8928.62,0.28507,0.2681,0.8628,0.99817,0.99901,0.9946,0.99212,0.15935,0.11324,0.77472,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9207.9,0.28248,0.26768,0.86074,0.99872,0.99878,0.99451,0.99222,0.15745,0.10958,0.77339,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9487.1,0.28168,0.2652,0.86129,0.99862,0.9985,0.99467,0.99241,0.15623,0.10772,0.77253,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9766.28,0.28073,0.26451,0.86165,0.99862,0.9987,0.99454,0.99236,0.15631,0.10849,0.77263,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10045.3,0.27806,0.26339,0.85925,0.99887,0.99873,0.99461,0.9923,0.15676,0.10754,0.77269,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10324.6,0.27535,0.25685,0.85841,0.99838,0.99871,0.99457,0.99238,0.15534,0.10715,0.7718,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10605.3,0.27769,0.26176,0.85933,0.9986,0.99866,0.99457,0.99259,0.15363,0.10397,0.7718,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10884.3,0.27218,0.25847,0.8577,0.99854,0.9989,0.99459,0.99273,0.15203,0.10382,0.77164,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11164.3,0.2715,0.25465,0.85713,0.99866,0.99882,0.99459,0.9924,0.15126,0.10208,0.77109,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11444.4,0.26747,0.25062,0.85654,0.99893,0.99865,0.99466,0.99294,0.14928,0.10011,0.77019,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11724.9,0.26494,0.2481,0.85393,0.9988,0.99873,0.99465,0.99278,0.14979,0.10033,0.77058,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12004.3,0.26609,0.24659,0.855,0.99873,0.99871,0.99464,0.99258,0.14915,0.09997,0.77032,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12284.5,0.26428,0.24468,0.85436,0.99879,0.99878,0.99465,0.99276,0.14831,0.09891,0.77003,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12564.7,0.2622,0.2462,0.8537,0.99915,0.99883,0.99469,0.99318,0.1465,0.0982,0.76964,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12844.8,0.25844,0.23818,0.85239,0.99892,0.99855,0.99474,0.99321,0.1464,0.09755,0.76965,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13125,0.25784,0.23965,0.85194,0.99877,0.99877,0.99468,0.99318,0.14607,0.09733,0.76938,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13405.2,0.2568,0.23551,0.85099,0.99861,0.99871,0.99462,0.99334,0.14468,0.09632,0.76875,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13686.1,0.256,0.23704,0.85082,0.9986,0.99875,0.99466,0.99345,0.14429,0.09629,0.76867,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13966,0.25386,0.23285,0.84919,0.99868,0.99884,0.99458,0.99309,0.14363,0.09527,0.76827,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14246.5,0.25122,0.233,0.84958,0.99867,0.99883,0.99457,0.99323,0.14248,0.0942,0.76798,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14526.9,0.25122,0.22926,0.84957,0.99877,0.99877,0.99458,0.99317,0.14275,0.09379,0.76812,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14807.3,0.2492,0.23178,0.84898,0.99912,0.99878,0.99457,0.99344,0.14192,0.09384,0.76799,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15088.2,0.24747,0.23055,0.84883,0.99905,0.99863,0.99452,0.99331,0.14144,0.09373,0.76775,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15368.8,0.24675,0.22636,0.84695,0.99894,0.99872,0.99474,0.99349,0.14089,0.09269,0.76779,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,15648.9,0.24606,0.22476,0.84703,0.99889,0.99888,0.99472,0.99364,0.14026,0.09195,0.76744,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
